geo_name,sphere,mode,6,k,233.652844,max_r,0.100000
source_x,source_y,source_z,n,m,re,im
0.036091,0.014936,0.007144,0,0,74770.555901,-8282312.227807
0.036091,0.014936,0.007144,1,-1,4471681.401815,-21472003.151501
0.036091,0.014936,0.007144,1,0,411804.275977,-14436206.581257
0.036091,0.014936,0.007144,1,1,3192139.334523,21680804.467768
-0.021662,0.018969,0.027326,0,0,22820.434803,-2659669.771537
-0.021662,0.018969,0.027326,1,-1,-14822450.801336,-14264891.323093
-0.021662,0.018969,0.027326,1,0,-262537.100697,22403892.156037
-0.021662,0.018969,0.027326,1,1,-16201867.562009,13849378.592656
-0.026900,-0.006529,0.028354,0,0,-187198.491277,-5572850.528698
-0.026900,-0.006529,0.028354,1,-1,-6973123.750872,-4615513.854712
-0.026900,-0.006529,0.028354,1,0,121002.513951,-3887969.956725
-0.026900,-0.006529,0.028354,1,1,-6788122.484255,4770693.363651
-0.024022,-0.015547,0.027479,0,0,-250438.157906,-2490865.868252
-0.024022,-0.015547,0.027479,1,-1,2416115.751554,-3300101.101840
-0.024022,-0.015547,0.027479,1,0,-133.412336,-4414907.438619
-0.024022,-0.015547,0.027479,1,1,2032476.234817,3858112.300720
-0.034611,0.016964,0.009564,0,0,-175989.388811,-4285994.259804
-0.034611,0.016964,0.009564,1,-1,-41910.021694,-6322960.046870
-0.034611,0.016964,0.009564,1,0,-15630.253188,2613553.263888
-0.034611,0.016964,0.009564,1,1,-75747.806339,6430443.334119
0.010430,0.037076,-0.009450,0,0,143524.949940,-208394.468068
0.010430,0.037076,-0.009450,1,-1,-2294975.638991,-5331748.137603
0.010430,0.037076,-0.009450,1,0,502262.625209,-11349905.797753
0.010430,0.037076,-0.009450,1,1,-2701027.979724,5746055.448733
0.007052,0.035562,-0.016049,0,0,-211641.692786,587381.952297
0.007052,0.035562,-0.016049,1,-1,667769.247231,-481185.564642
0.007052,0.035562,-0.016049,1,0,9910.481164,-1620295.040426
0.007052,0.035562,-0.016049,1,1,335977.440426,617728.588709
-0.006088,0.017314,-0.035222,0,0,-124867.066812,6427.203841
-0.006088,0.017314,-0.035222,1,-1,2170312.091906,-326767.917718
