geo_name,bunny,mode,11,k,349.707075,max_r,0.026161
source_x,source_y,source_z,n,m,re,im
-0.015727,0.004064,0.002927,0,0,-194246543523.726929,67115995934.152306
-0.015727,0.004064,0.002927,1,-1,-6556677943.446255,4146789748.459433
-0.015727,0.004064,0.002927,1,0,-8175991274.695965,-2218543211.446847
-0.015727,0.004064,0.002927,1,1,552220657.232753,21462154196.912605
0.010041,-0.012327,-0.001642,0,0,-4100656480.333269,-14112383512.165995
0.010041,-0.012327,-0.001642,1,-1,1298793649.524968,792255094.013423
0.010041,-0.012327,-0.001642,1,0,206315117.207854,-1517578573.307317
0.010041,-0.012327,-0.001642,1,1,458775117.086609,795954900.370389
-0.013271,-0.003548,-0.000162,0,0,23165439391.563885,44021583691.196602
-0.013271,-0.003548,-0.000162,1,-1,-7656103333.367930,-836357892.643576
-0.013271,-0.003548,-0.000162,1,0,3442763948.857030,-6511713465.362883
-0.013271,-0.003548,-0.000162,1,1,2941771656.045817,1521071342.457293
0.000481,0.001667,0.004248,0,0,5838064845.927203,26778645421.769085
0.000481,0.001667,0.004248,1,-1,-1515276883.302625,-993100211.537774
0.000481,0.001667,0.004248,1,0,-1845047501.645111,-5921474687.436709
0.000481,0.001667,0.004248,1,1,628513011.133817,-3491563643.662115
-0.003163,-0.007415,0.007935,0,0,-56279063810.359634,97793737088.869171
-0.003163,-0.007415,0.007935,1,-1,6267136708.215691,8137748952.316561
-0.003163,-0.007415,0.007935,1,0,-3554700895.249002,-30443823154.474072
-0.003163,-0.007415,0.007935,1,1,-16714840241.585451,4485538507.971960
0.009716,-0.006415,-0.002593,0,0,1877263982.619509,885647377.985644
0.009716,-0.006415,-0.002593,1,-1,-1656479818.181017,663814838.707194
0.009716,-0.006415,-0.002593,1,0,-597579659.467054,-539665809.230648
0.009716,-0.006415,-0.002593,1,1,-801594065.415319,328869898.700431
-0.014869,-0.004196,0.002187,0,0,-31265434592.746277,11743795123.535053
-0.014869,-0.004196,0.002187,1,-1,-2695373553.807404,-1012319696.101403
-0.014869,-0.004196,0.002187,1,0,-2914404482.126206,1302312358.531318
-0.014869,-0.004196,0.002187,1,1,3060867523.272512,-2837211062.413357
0.004767,0.001250,0.006869,0,0,20141881067.417122,-70728786867.120102
0.004767,0.001250,0.006869,1,-1,-6373948053.121332,4120736524.457448
0.004767,0.001250,0.006869,1,0,8260024085.112076,5475755619.697154
0.004767,0.001250,0.006869,1,1,-2917331612.747107,-1205287246.425564
0.012030,-0.005192,0.006314,0,0,-145693431540.592346,-184979917924.230377
0.012030,-0.005192,0.006314,1,-1,-1491872120.769650,3537846194.431712
0.012030,-0.005192,0.006314,1,0,-9998862000.871185,-21582078274.605244
0.012030,-0.005192,0.006314,1,1,-2350314061.004605,3531280897.485373
0.001542,-0.011177,0.010817,0,0,7811254157.573404,-6556209137.520064
0.001542,-0.011177,0.010817,1,-1,-1017642547.577318,-387406258.547476
0.001542,-0.011177,0.010817,1,0,87218278.197636,1323457532.841302
0.001542,-0.011177,0.010817,1,1,-1371669132.851763,-612784429.680120
0.006867,0.001931,0.005311,0,0,-50325335965.258858,29132625871.847652
0.006867,0.001931,0.005311,1,-1,3019896790.740455,15987347062.801666
