geo_name,dragon,mode,13,k,163.516948,max_r,0.026306
source_x,source_y,source_z,n,m,re,im
0.015466,-0.015813,-0.000473,0,0,163936228.070671,-9188810.714384
0.015466,-0.015813,-0.000473,1,-1,130144232.263249,258686852.478094
0.015466,-0.015813,-0.000473,1,0,31062583.506115,123012926.615882
0.015466,-0.015813,-0.000473,1,1,322489191.078167,197920977.804613
0.019316,-0.012212,0.003047,0,0,635184641.271382,107737171.741321
0.019316,-0.012212,0.003047,1,-1,62605914.451540,47124905.646396
0.019316,-0.012212,0.003047,1,0,287162530.804599,155134634.263249
0.019316,-0.012212,0.003047,1,1,-110087807.634221,159380918.763460
-0.002934,-0.014297,0.003306,0,0,-43778766.560102,-20221952.958828
-0.002934,-0.014297,0.003306,1,-1,33764952.762168,-890115.766961
-0.002934,-0.014297,0.003306,1,0,-49428373.103982,48198004.057632
-0.002934,-0.014297,0.003306,1,1,23851014.157307,-90400516.519915
0.010435,-0.015779,0.003107,0,0,-139082652.236331,70647574.275633
0.010435,-0.015779,0.003107,1,-1,-110498961.970640,-56119433.239886
0.010435,-0.015779,0.003107,1,0,-93504641.266289,176689483.692722
0.010435,-0.015779,0.003107,1,1,57993937.732479,20833681.271528
-0.009038,0.003313,-0.000240,0,0,17014245.461724,-57849787.202798
-0.009038,0.003313,-0.000240,1,-1,-38581733.854811,32801175.009681
-0.009038,0.003313,-0.000240,1,0,52147043.180157,-71196812.306508
-0.009038,0.003313,-0.000240,1,1,-57559127.450137,9064433.501595
0.002740,0.005068,-0.002552,0,0,7468412.412999,74162897.600496
0.002740,0.005068,-0.002552,1,-1,-99704778.756547,-141823326.442877
0.002740,0.005068,-0.002552,1,0,-70085583.841209,-39930873.680356
0.002740,0.005068,-0.002552,1,1,-31264188.341976,-152391551.942060
-0.008185,-0.000764,-0.003338,0,0,45420479.872305,49658682.775784
-0.008185,-0.000764,-0.003338,1,-1,45633803.227588,-96859252.210425
-0.008185,-0.000764,-0.003338,1,0,-148420251.760443,-68824618.729473
-0.008185,-0.000764,-0.003338,1,1,99709985.859783,28389480.161024
0.010889,-0.006155,-0.005959,0,0,371409586.793239,-17736914.436068
0.010889,-0.006155,-0.005959,1,-1,-15266161.668577,-64137923.028090
0.010889,-0.006155,-0.005959,1,0,-280152930.365224,-258329479.740485
0.010889,-0.006155,-0.005959,1,1,-46335758.194738,126143623.499198
-0.011506,0.006969,-0.003622,0,0,-8869282.552468,43848832.929172
-0.011506,0.006969,-0.003622,1,-1,-36631345.403820,91319762.707544
-0.011506,0.006969,-0.003622,1,0,118980130.978791,-21513312.330974
-0.011506,0.006969,-0.003622,1,1,80560472.525625,29961932.887892
0.011882,-0.011901,-0.001509,0,0,-70340345.963475,-8702096.855514
0.011882,-0.011901,-0.001509,1,-1,-67630817.042831,256398600.002757
0.011882,-0.011901,-0.001509,1,0,-63688672.946517,-14374002.582733
