geo_name,ellipsoid,mode,0,k,196.836604,max_r,0.060000
source_x,source_y,source_z,n,m,re,im
0.020506,-0.008120,0.006440,0,0,-989863.499042,462016.884843
0.020506,-0.008120,0.006440,1,-1,1107173.402400,-67418.666871
0.020506,-0.008120,0.006440,1,0,-382793.848520,-147218.696936
0.020506,-0.008120,0.006440,1,1,1529756.424910,-1388103.349990
-0.030394,0.002489,0.025279,0,0,7157033.874059,6493454.097324
-0.030394,0.002489,0.025279,1,-1,-7880867.030555,-15826336.459874
-0.030394,0.002489,0.025279,1,0,20097533.963901,18711124.411944
-0.030394,0.002489,0.025279,1,1,1215122.415493,18127277.648333
0.006866,-0.006781,0.026652,0,0,916212.937777,-4649393.795380
0.006866,-0.006781,0.026652,1,-1,5005967.439689,-2866520.288195
0.006866,-0.006781,0.026652,1,0,1324195.288098,2763718.972215
0.006866,-0.006781,0.026652,1,1,2845831.027144,6959072.890580
0.005571,-0.007079,0.025843,0,0,747588.539797,-3456654.965269
0.005571,-0.007079,0.025843,1,-1,4139822.760371,-2603312.631683
0.005571,-0.007079,0.025843,1,0,1034988.742183,1034753.906406
0.005571,-0.007079,0.025843,1,1,3390104.370233,5363362.552912
0.007980,0.009458,0.008348,0,0,-1622389.602113,-2106731.155708
0.007980,0.009458,0.008348,1,-1,1626352.344512,-1145170.156985
0.007980,0.009458,0.008348,1,0,-1407693.306185,-1165061.926170
0.007980,0.009458,0.008348,1,1,248849.824794,-1891975.606321
-0.020882,-0.007930,-0.008201,0,0,-289536.298911,-2089995.475900
-0.020882,-0.007930,-0.008201,1,-1,-1384825.526465,2852345.444099
-0.020882,-0.007930,-0.008201,1,0,381626.535088,-393372.210541
-0.020882,-0.007930,-0.008201,1,1,-556039.258356,550126.934197
-0.036866,0.002475,-0.014292,0,0,-807364.848149,-139617.173254
-0.036866,0.002475,-0.014292,1,-1,-1049941.545229,1353468.362125
-0.036866,0.002475,-0.014292,1,0,-402452.920461,1164477.489548
-0.036866,0.002475,-0.014292,1,1,-429772.033653,1447129.670665
0.007471,-0.004308,-0.034576,0,0,2307008.490398,1797399.370034
0.007471,-0.004308,-0.034576,1,-1,-1203086.553497,-617484.748794
0.007471,-0.004308,-0.034576,1,0,-321241.014904,1288742.087091
0.007471,-0.004308,-0.034576,1,1,3877498.947611,-1637150.863126
0.038833,0.000961,-0.016420,0,0,2249464.413030,1886610.615773
0.038833,0.000961,-0.016420,1,-1,3190196.125799,5458641.906384
0.038833,0.000961,-0.016420,1,0,13379446.647691,20963085.224432
0.038833,0.000961,-0.016420,1,1,5843156.011121,-3954646.790686
0.037320,0.003522,-0.001608,0,0,2686471.944749,21513.783239
0.037320,0.003522,-0.001608,1,-1,-2659738.711111,5261926.901905
0.037320,0.003522,-0.001608,1,0,6019799.644417,-5617310.806603
0.037320,0.003522,-0.001608,1,1,-4601659.391807,-12653336.275685
-0.013313,0.007067,0.022770,0,0,232888.415019,-4081924.339737
-0.013313,0.007067,0.022770,1,-1,839339.748729,9089695.834528
-0.013313,0.007067,0.022770,1,0,-922424.829951,-3339892.380356
-0.013313,0.007067,0.022770,1,1,2648823.393480,-5979773.878502
-0.004544,0.009888,-0.001661,0,0,-225972.324237,-673698.569634
-0.004544,0.009888,-0.001661,1,-1,-3588244.752576,2639999.571831
-0.004544,0.009888,-0.001661,1,0,471097.434921,1145110.665119
-0.004544,0.009888,-0.001661,1,1,-563805.919887,3812006.143631
-0.039239,0.002266,-0.007434,0,0,569381.220046,1880404.920798
-0.039239,0.002266,-0.007434,1,-1,-1348663.561871,-907801.537012
-0.039239,0.002266,-0.007434,1,0,2768814.175768,335947.504775
-0.039239,0.002266,-0.007434,1,1,-1548674.747494,5221679.819307
0.002960,-0.007407,0.024758,0,0,558407.879473,-1660225.236275
0.002960,-0.007407,0.024758,1,-1,2476652.265100,-1450609.356122
0.002960,-0.007407,0.024758,1,0,248641.585905,-258229.087115
0.002960,-0.007407,0.024758,1,1,3204647.058839,2625336.281304
-0.007006,0.009249,-0.011538,0,0,-3576243.401060,-3701577.051405
-0.007006,0.009249,-0.011538,1,-1,841595.113488,739637.511404
-0.007006,0.009249,-0.011538,1,0,-3231323.281565,-4971314.246301
-0.007006,0.009249,-0.011538,1,1,-264186.109701,-297499.121344
0.013439,0.008824,0.010412,0,0,-653359.484270,-1236896.249727
0.013439,0.008824,0.010412,1,-1,554687.376607,3325406.363543
0.013439,0.008824,0.010412,1,0,-111127.327940,-2821278.478090
0.013439,0.008824,0.010412,1,1,-1450126.029979,-1638344.158372
-0.022612,0.007498,-0.009424,0,0,-198127.630014,159357.953852
-0.022612,0.007498,-0.009424,1,-1,351046.360991,-1259705.416388
-0.022612,0.007498,-0.009424,1,0,-137853.274669,-296001.311206
-0.022612,0.007498,-0.009424,1,1,-199879.818968,1543693.773114
0.012001,-0.003080,0.036360,0,0,4025770.414334,1659203.056080
0.012001,-0.003080,0.036360,1,-1,-6420654.569531,8158946.661123
0.012001,-0.003080,0.036360,1,0,-7238264.227405,1918952.467916
0.012001,-0.003080,0.036360,1,1,-11444493.471399,-5681188.601559
-0.029797,0.002322,-0.026520,0,0,-2263893.818914,28029.180989
-0.029797,0.002322,-0.026520,1,-1,-3857165.120058,6657879.255647
-0.029797,0.002322,-0.026520,1,0,-8143055.745474,-874122.664296
-0.029797,0.002322,-0.026520,1,1,-3838994.334858,-5647867.876134
0.027890,-0.002633,0.027539,0,0,3357679.440661,-378645.295183
0.027890,-0.002633,0.027539,1,-1,-5772106.104605,7258333.542666
0.027890,-0.002633,0.027539,1,0,-10773849.224513,-4113768.133305
0.027890,-0.002633,0.027539,1,1,-7423189.772840,-4918067.466300
-0.000229,0.009966,-0.002006,0,0,-656250.410792,-651775.719184
-0.000229,0.009966,-0.002006,1,-1,102115.644956,1947538.086326
-0.000229,0.009966,-0.002006,1,0,432097.863531,1019321.160216
-0.000229,0.009966,-0.002006,1,1,-1154165.963362,507062.651173
0.011298,0.007469,0.021914,0,0,-41610.862967,3946037.481480
0.011298,0.007469,0.021914,1,-1,-5555853.385861,5818537.587549
0.011298,0.007469,0.021914,1,0,1041198.380954,-668762.246201
0.011298,0.007469,0.021914,1,1,-4610392.307517,-5485050.946108
0.011092,-0.009485,0.001518,0,0,-509313.287603,311671.086736
0.011092,-0.009485,0.001518,1,-1,-3068072.497669,3013829.724749
0.011092,-0.009485,0.001518,1,0,-826982.467734,-503456.406478
0.011092,-0.009485,0.001518,1,1,-781219.712420,2750517.227297
0.028028,0.005868,0.012760,0,0,-839738.458060,4381691.999079
0.028028,0.005868,0.012760,1,-1,-5014803.926543,-2454268.019099
0.028028,0.005868,0.012760,1,0,-209763.984029,1514679.841186
0.028028,0.005868,0.012760,1,1,-4425575.065885,-45397.825827
-0.032099,-0.004128,0.015954,0,0,-8620822.934936,-4407744.241049
-0.032099,-0.004128,0.015954,1,-1,13945117.544908,17678503.624593
-0.032099,-0.004128,0.015954,1,0,12237885.337556,-2342219.775026
-0.032099,-0.004128,0.015954,1,1,-1599009.884912,-22502445.594323
-0.037925,0.003021,0.005852,0,0,3298396.166076,2805399.576463
-0.037925,0.003021,0.005852,1,-1,-6843491.839892,-6369029.403398
-0.037925,0.003021,0.005852,1,0,10495875.572351,9718390.221790
-0.037925,0.003021,0.005852,1,1,-898191.390952,9334522.108751
-0.025059,0.007353,0.002420,0,0,2141098.742261,232753.462938
-0.025059,0.007353,0.002420,1,-1,1495489.099131,4017833.179997
-0.025059,0.007353,0.002420,1,0,-363602.526259,-1072896.619930
-0.025059,0.007353,0.002420,1,1,215230.149585,-6013806.631957
0.028775,0.004749,0.018426,0,0,-2107755.913848,5404209.099498
0.028775,0.004749,0.018426,1,-1,277396.281296,-8464544.378276
0.028775,0.004749,0.018426,1,0,-3928087.513297,9566990.165385
0.028775,0.004749,0.018426,1,1,289029.153775,341948.360209
-0.007402,0.005830,-0.030079,0,0,-2249436.099553,11986581.226050
-0.007402,0.005830,-0.030079,1,-1,1722553.203533,4098205.684293
-0.007402,0.005830,-0.030079,1,0,-7724.905608,13883309.643988
-0.007402,0.005830,-0.030079,1,1,-1364479.073011,7193818.688199
0.000214,0.009965,-0.002179,0,0,-643887.927634,-597252.509334
0.000214,0.009965,-0.002179,1,-1,514343.293778,1915113.753804
0.000214,0.009965,-0.002179,1,0,483781.046173,1028806.456498
0.000214,0.009965,-0.002179,1,1,-1309629.590792,164110.820128
-0.002853,0.007779,-0.022938,0,0,410652.225021,5251567.663242
-0.002853,0.007779,-0.022938,1,-1,7502105.376882,-2343771.654627
-0.002853,0.007779,-0.022938,1,0,249909.818010,-3872505.161830
-0.002853,0.007779,-0.022938,1,1,8609483.448846,1090926.337131
-0.001413,-0.008829,0.016927,0,0,916197.852706,4947.595376
-0.001413,-0.008829,0.016927,1,-1,1082392.095134,2439406.687353
-0.001413,-0.008829,0.016927,1,0,-1813954.953500,-1864038.561827
-0.001413,-0.008829,0.016927,1,1,-1914307.895083,-3471599.698572
-0.015944,-0.007196,-0.020380,0,0,753691.971137,-4905872.364389
-0.015944,-0.007196,-0.020380,1,-1,-7087663.712742,2288876.600600
-0.015944,-0.007196,-0.020380,1,0,880176.793366,-321890.490836
-0.015944,-0.007196,-0.020380,1,1,-3605445.796671,-4833264.773297
0.027972,0.002807,-0.026990,0,0,5620717.807067,3084853.901551
0.027972,0.002807,-0.026990,1,-1,11487519.341101,11580282.801428
0.027972,0.002807,-0.026990,1,0,19468168.787539,14614318.175567
0.027972,0.002807,-0.026990,1,1,7558210.243917,-14225702.130544
-0.016622,0.008246,-0.012378,0,0,-1754762.066596,-1203141.872876
-0.016622,0.008246,-0.012378,1,-1,1384442.983260,-3559874.009017
-0.016622,0.008246,-0.012378,1,0,-1069134.992884,-3772386.468900
-0.016622,0.008246,-0.012378,1,1,1730651.488429,2445576.820679
-0.023679,-0.004477,-0.025688,0,0,3703998.579321,-6203714.298955
-0.023679,-0.004477,-0.025688,1,-1,2204900.696494,-3645802.819961
-0.023679,-0.004477,-0.025688,1,0,-4583322.673613,15922708.206442
-0.023679,-0.004477,-0.025688,1,1,6784684.942858,-1837095.503928
0.010550,-0.007882,-0.020010,0,0,1363530.805872,3512165.944358
0.010550,-0.007882,-0.020010,1,-1,3926860.381261,3100359.655545
0.010550,-0.007882,-0.020010,1,0,481537.713091,2461253.715651
0.010550,-0.007882,-0.020010,1,1,2104861.870907,-3386961.830850
-0.037127,0.003191,-0.008140,0,0,534975.197672,839538.693633
-0.037127,0.003191,-0.008140,1,-1,-285314.908575,573630.620277
-0.037127,0.003191,-0.008140,1,0,1770620.868633,-1950446.836848
-0.037127,0.003191,-0.008140,1,1,301165.395570,5023977.969179
0.009052,0.005631,0.030246,0,0,-839486.098991,6455674.141835
0.009052,0.005631,0.030246,1,-1,-2140269.965866,-1845676.989285
0.009052,0.005631,0.030246,1,0,326598.936331,7498328.069433
0.009052,0.005631,0.030246,1,1,-640886.974675,-5319776.987095
0.030003,-0.006071,-0.003352,0,0,-1648009.939201,7062633.360144
0.030003,-0.006071,-0.003352,1,-1,346191.274323,4052250.344510
0.030003,-0.006071,-0.003352,1,0,-576847.212175,-5719759.265350
0.030003,-0.006071,-0.003352,1,1,5674153.334521,-3798156.849179
0.031659,-0.005298,0.007888,0,0,-713078.935162,3949928.690965
0.031659,-0.005298,0.007888,1,-1,1111347.015983,5981685.542245
0.031659,-0.005298,0.007888,1,0,659523.615078,469215.595928
0.031659,-0.005298,0.007888,1,1,2189889.853047,1086105.417848
0.014947,0.004901,0.030355,0,0,-2244645.185668,6816322.427422
0.014947,0.004901,0.030355,1,-1,-1255268.193650,-2722642.643307
0.014947,0.004901,0.030355,1,0,-3119850.777163,13457146.035636
0.014947,0.004901,0.030355,1,1,4758665.834567,-3887671.408360
-0.029696,0.000810,-0.030342,0,0,-1171825.574106,455906.333896
