geo_name,rod,mode,3,k,255.471651,max_r,0.022545
source_x,source_y,source_z,n,m,re,im
-0.000491,-0.011233,0.000317,0,0,-32183.327983,-11038.341497
-0.000491,-0.011233,0.000317,1,-1,1851318.313083,-3221850.007911
-0.000491,-0.011233,0.000317,1,0,22064.635571,-513207.008811
-0.000491,-0.011233,0.000317,1,1,1715583.791453,3328237.462763
0.000326,0.011111,0.000487,0,0,41713.050818,-88793.968310
0.000326,0.011111,0.000487,1,-1,-2141516.603749,878180.078523
0.000326,0.011111,0.000487,1,0,-107965.083851,3021859.565565
0.000326,0.011111,0.000487,1,1,-2070384.230301,-1171331.516236
0.000376,0.014028,0.000438,0,0,69064.254732,-202485.278250
0.000376,0.014028,0.000438,1,-1,-662058.952037,2074825.094964
0.000376,0.014028,0.000438,1,0,-72108.605188,929264.745082
0.000376,0.014028,0.000438,1,1,-299726.031614,-2268648.498553
-0.000306,0.011918,0.000496,0,0,102071.062406,-340063.633508
-0.000306,0.011918,0.000496,1,-1,-1687744.625991,4477246.200164
-0.000306,0.011918,0.000496,1,0,64293.314465,-705353.901477
-0.000306,0.011918,0.000496,1,1,-1268558.237206,-4661890.668763
-0.000532,-0.000777,0.000230,0,0,-2289.349499,-545853.959412
-0.000532,-0.000777,0.000230,1,-1,442815.218110,-375409.613463
-0.000532,-0.000777,0.000230,1,0,37270.949048,116888.965009
-0.000532,-0.000777,0.000230,1,1,435331.479207,385308.259611
0.000499,0.003412,-0.000306,0,0,4971.825645,-596814.856920
0.000499,0.003412,-0.000306,1,-1,-1476064.098769,2459463.338107
0.000499,0.003412,-0.000306,1,0,-32664.526250,986553.027495
0.000499,0.003412,-0.000306,1,1,-1348562.523655,-2596592.416529
-0.000351,0.019559,-0.000460,0,0,923.193952,-607115.749353
-0.000351,0.019559,-0.000460,1,-1,716350.733469,-3356333.401156
-0.000351,0.019559,-0.000460,1,0,13176.907701,-448691.147944
-0.000351,0.019559,-0.000460,1,1,736272.384696,3169585.921776
0.000124,0.001134,-0.000575,0,0,19213.250555,-525321.258441
0.000124,0.001134,-0.000575,1,-1,-563063.174874,562964.485303
0.000124,0.001134,-0.000575,1,0,7917.409736,-571150.628151
0.000124,0.001134,-0.000575,1,1,-524441.822240,-623815.244421
0.000281,0.014123,-0.000507,0,0,111427.732329,-315993.585259
0.000281,0.014123,-0.000507,1,-1,-914411.941458,3441095.740403
0.000281,0.014123,-0.000507,1,0,-62388.236509,55500.364477
0.000281,0.014123,-0.000507,1,1,-640059.825204,-3453677.895662
-0.000580,-0.008109,-0.000064,0,0,-30441.071894,-580938.052587
-0.000580,-0.008109,-0.000064,1,-1,-946501.578558,-4787444.177868
-0.000580,-0.008109,-0.000064,1,0,63007.858317,-2407144.100003
-0.000580,-0.008109,-0.000064,1,1,-1252066.201031,4752419.248229
0.000390,0.004130,0.000427,0,0,-22752.722941,-587151.970969
0.000390,0.004130,0.000427,1,-1,-585664.096683,1945140.081837
0.000390,0.004130,0.000427,1,0,112050.445724,-3634547.234421
0.000390,0.004130,0.000427,1,1,-472767.636724,-1938185.974174
-0.000579,-0.007264,-0.000013,0,0,-24560.607838,-792578.752215
-0.000579,-0.007264,-0.000013,1,-1,2231595.262830,-2309142.154000
-0.000579,-0.007264,-0.000013,1,0,22016.135789,-1097325.598071
-0.000579,-0.007264,-0.000013,1,1,2080727.516286,2441130.242301
0.000544,0.006410,-0.000200,0,0,31737.143643,-882502.074090
0.000544,0.006410,-0.000200,1,-1,-5918138.272064,6484580.220913
0.000544,0.006410,-0.000200,1,0,411122.980385,-12100998.443443
0.000544,0.006410,-0.000200,1,1,-5536793.918311,-6909041.683424
-0.000325,0.009503,0.000485,0,0,80083.179841,-79500.330224
-0.000325,0.009503,0.000485,1,-1,-6111017.328211,4018327.707162
-0.000325,0.009503,0.000485,1,0,25006.311436,-404509.547770
-0.000325,0.009503,0.000485,1,1,-5817020.997891,-4493424.322439
0.000496,-0.012259,-0.000305,0,0,-35682.300126,-568912.935949
0.000496,-0.012259,-0.000305,1,-1,281262.989424,-2671179.248315
0.000496,-0.012259,-0.000305,1,0,-119573.195216,1905387.254810
0.000496,-0.012259,-0.000305,1,1,92395.650248,2597543.615242
-0.000573,0.007537,0.000129,0,0,110073.103473,-1830088.702708
-0.000573,0.007537,0.000129,1,-1,-5264371.596967,2358654.871783
-0.000573,0.007537,0.000129,1,0,-221148.645160,6834344.303058
-0.000573,0.007537,0.000129,1,1,-5111238.486343,-2810513.103964
0.000550,-0.001985,-0.000187,0,0,-17700.682216,-737180.092782
0.000550,-0.001985,-0.000187,1,-1,-671326.523203,-2453711.144545
0.000550,-0.001985,-0.000187,1,0,34416.763824,-133793.725820
0.000550,-0.001985,-0.000187,1,1,-854307.193544,2377639.357580
0.000154,0.004210,0.000561,0,0,3835.127099,-671062.115435
0.000154,0.004210,0.000561,1,-1,-1437587.663862,1495508.562540
0.000154,0.004210,0.000561,1,0,121121.300790,-2554209.679815
0.000154,0.004210,0.000561,1,1,-1242827.475934,-1575240.293719
-0.000380,-0.014578,-0.000437,0,0,-26545.750446,-169171.554747
-0.000380,-0.014578,-0.000437,1,-1,132375.820667,-1287963.831900
-0.000380,-0.014578,-0.000437,1,0,-6501.262129,826944.950080
-0.000380,-0.014578,-0.000437,1,1,-91184.214077,1327011.372762
0.000365,0.016610,0.000446,0,0,84395.085334,-150581.208760
0.000365,0.016610,0.000446,1,-1,166167.681337,124186.313704
0.000365,0.016610,0.000446,1,0,-102535.480219,-874453.425335
0.000365,0.016610,0.000446,1,1,201951.321572,-425926.489830
-0.000578,-0.009623,0.000110,0,0,-28648.016934,-321485.286977
-0.000578,-0.009623,0.000110,1,-1,227784.885163,-1627261.458092
-0.000578,-0.009623,0.000110,1,0,51398.282739,-1968753.567721
-0.000578,-0.009623,0.000110,1,1,131739.468136,1647140.851845
0.000477,0.001691,0.000339,0,0,-38151.884472,-445486.700547
0.000477,0.001691,0.000339,1,-1,-621404.422384,1414647.270090
0.000477,0.001691,0.000339,1,0,-10098.874622,518938.827826
0.000477,0.001691,0.000339,1,1,-570292.823736,-1490659.070833
0.000579,0.007415,-0.000058,0,0,28634.054110,-1031909.910344
0.000579,0.007415,-0.000058,1,-1,-2276121.803245,3088164.942428
0.000579,0.007415,-0.000058,1,0,-213630.883821,6882801.320529
0.000579,0.007415,-0.000058,1,1,-2056146.560187,-3222926.479787
-0.000573,0.017850,0.000125,0,0,22087.679672,-263822.582651
-0.000573,0.017850,0.000125,1,-1,252030.732085,-363531.332542
-0.000573,0.017850,0.000125,1,0,-4378.666221,360403.816805
-0.000573,0.017850,0.000125,1,1,357790.553438,413575.028615
0.000275,-0.015520,0.000507,0,0,-69694.876164,-525283.624292
0.000275,-0.015520,0.000507,1,-1,121327.828437,-1960902.856771
0.000275,-0.015520,0.000507,1,0,-65580.551734,36815.993050
0.000275,-0.015520,0.000507,1,1,-132443.242683,2059740.714099
0.000508,-0.014895,0.000277,0,0,-56745.485982,-569457.578136
0.000508,-0.014895,0.000277,1,-1,1133922.076963,-1030343.616862
0.000508,-0.014895,0.000277,1,0,178206.279200,-3232262.161993
0.000508,-0.014895,0.000277,1,1,884356.044824,1189259.000710
0.000580,0.013553,-0.000045,0,0,76737.888019,-194169.173038
0.000580,0.013553,-0.000045,1,-1,-1675077.068970,984937.023386
0.000580,0.013553,-0.000045,1,0,63480.961211,-973927.954740
0.000580,0.013553,-0.000045,1,1,-1400681.405642,-1147749.621028
-0.000466,-0.007248,0.000347,0,0,-8208.690335,-695522.539949
-0.000466,-0.007248,0.000347,1,-1,739669.525970,-4239203.308363
-0.000466,-0.007248,0.000347,1,0,-12851.450116,636797.014051
-0.000466,-0.007248,0.000347,1,1,496817.155632,4320828.024067
-0.000042,0.020984,-0.000580,0,0,27664.714801,-2791990.215116
-0.000042,0.020984,-0.000580,1,-1,4700640.975642,-11725758.556208
-0.000042,0.020984,-0.000580,1,0,-53212.453705,2941103.936760
-0.000042,0.020984,-0.000580,1,1,4507810.993418,11671273.045343
-0.000580,-0.009699,0.000058,0,0,-31421.500985,-301453.641705
-0.000580,-0.009699,0.000058,1,-1,1764752.239708,-797274.206411
-0.000580,-0.009699,0.000058,1,0,104789.062106,-3478619.036617
-0.000580,-0.009699,0.000058,1,1,1689258.900749,916107.773673
0.000250,-0.004533,-0.000519,0,0,26054.759330,-1470697.395455
0.000250,-0.004533,-0.000519,1,-1,5318254.715651,-6862080.421095
0.000250,-0.004533,-0.000519,1,0,-12492.114917,207106.985866
0.000250,-0.004533,-0.000519,1,1,4834034.180907,7194861.579396
0.000394,-0.012033,0.000422,0,0,-47986.098286,-545580.724647
0.000394,-0.012033,0.000422,1,-1,305730.883158,-4017988.814346
0.000394,-0.012033,0.000422,1,0,83591.425812,-823847.957052
0.000394,-0.012033,0.000422,1,1,-77133.776967,4121817.009514
-0.000420,0.002001,-0.000394,0,0,24210.096807,-790113.875834
-0.000420,0.002001,-0.000394,1,-1,872432.379591,2150641.817815
-0.000420,0.002001,-0.000394,1,0,57106.618337,-1113002.448475
-0.000420,0.002001,-0.000394,1,1,970346.233883,-2012532.631399
-0.000438,-0.015668,-0.000379,0,0,-21378.640390,-137921.895735
-0.000438,-0.015668,-0.000379,1,-1,440762.221687,-1113496.922236
-0.000438,-0.015668,-0.000379,1,0,-50530.328896,887054.387903
-0.000438,-0.015668,-0.000379,1,1,119908.162839,1188697.017716
-0.000534,-0.016570,-0.000220,0,0,-237.082952,-154844.362163
-0.000534,-0.016570,-0.000220,1,-1,592589.040920,304333.514506
-0.000534,-0.016570,-0.000220,1,0,24397.956931,872115.118773
-0.000534,-0.016570,-0.000220,1,1,353131.879694,-207307.055432
-0.000217,-0.012452,-0.000536,0,0,-43091.667461,9950.749539
-0.000217,-0.012452,-0.000536,1,-1,-129703.739531,-4302191.745638
-0.000217,-0.012452,-0.000536,1,0,27512.326710,-1213527.817181
-0.000217,-0.012452,-0.000536,1,1,-423113.281950,4286322.944273
0.000364,0.003086,-0.000448,0,0,19099.402167,-604635.681577
0.000364,0.003086,-0.000448,1,-1,-228204.103932,1064777.121358
0.000364,0.003086,-0.000448,1,0,-15949.882221,866689.599543
0.000364,0.003086,-0.000448,1,1,-76255.475934,-1127375.979057
0.000573,0.004077,-0.000126,0,0,-10261.171154,-648020.014296
0.000573,0.004077,-0.000126,1,-1,-1651424.920449,3038874.491614
0.000573,0.004077,-0.000126,1,0,-29705.088057,1685442.777647
0.000573,0.004077,-0.000126,1,1,-1465518.224464,-3168969.661672
-0.000079,-0.017685,0.000578,0,0,-84602.394171,-386388.428755
-0.000079,-0.017685,0.000578,1,-1,-321693.935323,841509.551749
-0.000079,-0.017685,0.000578,1,0,-10572.000550,-639413.840589
-0.000079,-0.017685,0.000578,1,1,-372472.836049,-702501.814592
-0.000578,-0.018189,-0.000081,0,0,15721.134748,-249869.949126
-0.000578,-0.018189,-0.000081,1,-1,-877255.772365,1174498.354522
-0.000578,-0.018189,-0.000081,1,0,21485.928992,3561801.429056
-0.000578,-0.018189,-0.000081,1,1,-997346.292232,-1137955.052322
-0.000503,-0.004491,0.000295,0,0,-61.396616,-921775.745748
-0.000503,-0.004491,0.000295,1,-1,-1613422.387786,-5324146.532101
-0.000503,-0.004491,0.000295,1,0,-26003.524812,1399790.409445
-0.000503,-0.004491,0.000295,1,1,-1904470.387986,5196163.138933
-0.000177,-0.017780,0.000554,0,0,-77517.679470,-377916.155980
-0.000177,-0.017780,0.000554,1,-1,-633983.369366,1353953.512364
-0.000177,-0.017780,0.000554,1,0,-8365.256235,274623.554261
-0.000177,-0.017780,0.000554,1,1,-628823.283421,-1383041.374740
-0.000155,0.018489,-0.000562,0,0,37557.548668,-200248.925692
-0.000155,0.018489,-0.000562,1,-1,195313.670125,-1971297.315484
-0.000155,0.018489,-0.000562,1,0,-29442.777474,675989.269719
-0.000155,0.018489,-0.000562,1,1,276214.860053,1910221.379966
-0.000134,0.009351,0.000571,0,0,73259.516958,-158140.616369
-0.000134,0.009351,0.000571,1,-1,-1254089.989206,3578271.521605
-0.000134,0.009351,0.000571,1,0,36616.894137,-532101.679260
-0.000134,0.009351,0.000571,1,1,-938228.420883,-3664274.262614
0.000536,0.008952,0.000222,0,0,-10940.929679,474074.870597
0.000536,0.008952,0.000222,1,-1,1487577.820192,5531190.383547
0.000536,0.008952,0.000222,1,0,34474.150446,158744.190010
0.000536,0.008952,0.000222,1,1,1866052.477196,-5394058.625507
-0.000262,-0.007790,-0.000515,0,0,-16177.189749,-661054.387968
-0.000262,-0.007790,-0.000515,1,-1,746469.865713,-2096518.983107
-0.000262,-0.007790,-0.000515,1,0,-58293.404728,1962183.415552
-0.000262,-0.007790,-0.000515,1,1,619578.767449,2159969.994401
-0.000522,-0.005354,-0.000255,0,0,-22625.516053,-790056.977153
-0.000522,-0.005354,-0.000255,1,-1,1839598.122995,-2922847.749858
-0.000522,-0.005354,-0.000255,1,0,135001.189940,-3825576.977631
-0.000522,-0.005354,-0.000255,1,1,1663273.889210,3054116.374390
-0.000262,-0.009015,0.000518,0,0,-16629.073153,-526462.228471
-0.000262,-0.009015,0.000518,1,-1,1627932.996871,-3497321.828260
-0.000262,-0.009015,0.000518,1,0,17352.503629,-291886.896953
-0.000262,-0.009015,0.000518,1,1,1459992.274618,3627111.890822
-0.000530,-0.006212,0.000239,0,0,-12827.655930,-750295.747872
-0.000530,-0.006212,0.000239,1,-1,1456953.758218,-3228022.183776
-0.000530,-0.006212,0.000239,1,0,53007.184103,-1471820.262539
-0.000530,-0.006212,0.000239,1,1,1295790.627913,3307540.028461
0.000496,-0.016372,-0.000311,0,0,-50670.195864,-293351.953776
0.000496,-0.016372,-0.000311,1,-1,577443.311517,143028.224298
0.000496,-0.016372,-0.000311,1,0,112812.446496,-1034882.550761
0.000496,-0.016372,-0.000311,1,1,327257.258986,-138019.632935
0.000088,-0.006194,-0.000578,0,0,-1669.692014,-727413.053216
0.000088,-0.006194,-0.000578,1,-1,731228.287583,-2955713.889283
0.000088,-0.006194,-0.000578,1,0,-53894.882275,2459438.791143
0.000088,-0.006194,-0.000578,1,1,531248.104264,2973715.337688
0.000485,0.002636,0.000327,0,0,-34331.135144,-493272.001532
0.000485,0.002636,0.000327,1,-1,-1621777.369831,887041.249625
0.000485,0.002636,0.000327,1,0,-20328.942530,777850.732784
0.000485,0.002636,0.000327,1,1,-1545319.954709,-973610.696180
-0.000185,0.005011,0.000552,0,0,37656.208415,-406955.254561
-0.000185,0.005011,0.000552,1,-1,-4184557.356434,9508103.428662
-0.000185,0.005011,0.000552,1,0,48487.039616,-59279.730527
-0.000185,0.005011,0.000552,1,1,-3446281.498773,-9807852.222242
-0.000559,0.008894,0.000161,0,0,86820.954596,-762607.723803
-0.000559,0.008894,0.000161,1,-1,-1780266.476206,3725639.892690
-0.000559,0.008894,0.000161,1,0,-235208.199184,7240983.910236
-0.000559,0.008894,0.000161,1,1,-1578301.461489,-3940124.235926
0.000571,0.002786,0.000131,0,0,-32096.319511,-526406.946119
0.000571,0.002786,0.000131,1,-1,-1108685.435141,1011959.690434
0.000571,0.002786,0.000131,1,0,-31776.147061,1193156.002028
0.000571,0.002786,0.000131,1,1,-1114485.658369,-1127477.178724
-0.000149,0.019754,0.000565,0,0,77011.903487,-76410.620288
-0.000149,0.019754,0.000565,1,-1,1760177.329492,-5619016.608345
-0.000149,0.019754,0.000565,1,0,8368.774536,1163667.924417
-0.000149,0.019754,0.000565,1,1,1741108.183980,5605606.574148
-0.000519,-0.014836,0.000252,0,0,-18030.855096,45326.795764
-0.000519,-0.014836,0.000252,1,-1,557951.408484,-1631546.163639
-0.000519,-0.014836,0.000252,1,0,-50149.090739,1624096.204853
-0.000519,-0.014836,0.000252,1,1,337818.151230,1703314.749219
0.000486,0.013694,-0.000317,0,0,104078.726232,-247658.428943
0.000486,0.013694,-0.000317,1,-1,-574198.924864,1403107.642176
0.000486,0.013694,-0.000317,1,0,-18511.502972,-584479.316915
0.000486,0.013694,-0.000317,1,1,-500625.136204,-1273209.877091
-0.000579,-0.009244,0.000094,0,0,-28851.953833,-370183.960123
-0.000579,-0.009244,0.000094,1,-1,344528.134474,-4043487.146323
-0.000579,-0.009244,0.000094,1,0,-39161.191039,433676.155241
-0.000579,-0.009244,0.000094,1,1,106659.069717,4045856.393459
-0.000521,-0.000942,0.000251,0,0,-854.407124,-543081.464952
-0.000521,-0.000942,0.000251,1,-1,504898.525872,-392652.448683
-0.000521,-0.000942,0.000251,1,0,18066.754460,-22986.269529
-0.000521,-0.000942,0.000251,1,1,512100.512138,412713.524312
0.000541,-0.012089,-0.000210,0,0,-39739.156330,-536011.689007
0.000541,-0.012089,-0.000210,1,-1,1332363.541150,-1963476.135502
0.000541,-0.012089,-0.000210,1,0,18235.569279,-352161.279238
0.000541,-0.012089,-0.000210,1,1,1091319.235750,2037513.377558
0.000491,0.016209,0.000324,0,0,83113.887963,-125714.387607
0.000491,0.016209,0.000324,1,-1,-204148.651256,-132322.648143
0.000491,0.016209,0.000324,1,0,78969.407757,91139.557128
0.000491,0.016209,0.000324,1,1,-36677.390471,23325.915316
0.000505,-0.019129,-0.000287,0,0,-99204.412621,-416618.958101
0.000505,-0.019129,-0.000287,1,-1,194323.459165,3092799.451235
0.000505,-0.019129,-0.000287,1,0,5436.430010,-649635.236873
0.000505,-0.019129,-0.000287,1,1,303353.566725,-3324085.015354
0.000193,-0.003139,0.000548,0,0,-6376.992294,-746097.156367
0.000193,-0.003139,0.000548,1,-1,-27843.191334,-3807952.127951
0.000193,-0.003139,0.000548,1,0,-105250.815621,3273357.773175
0.000193,-0.003139,0.000548,1,1,-296992.063779,3823416.923412
0.000122,0.001150,0.000576,0,0,-10883.922967,-399317.778905
0.000122,0.001150,0.000576,1,-1,-374294.372945,1145589.417406
0.000122,0.001150,0.000576,1,0,14759.386616,129296.806431
0.000122,0.001150,0.000576,1,1,-286850.772124,-1158068.143639
-0.000571,0.012324,0.000136,0,0,81261.140947,-539645.977785
-0.000571,0.012324,0.000136,1,-1,-1300572.200888,1441938.174655
-0.000571,0.012324,0.000136,1,0,-5601.874782,870428.302560
-0.000571,0.012324,0.000136,1,1,-1236380.747262,-1586409.015086
0.000122,-0.016199,-0.000574,0,0,-45410.616459,-243662.842183
0.000122,-0.016199,-0.000574,1,-1,158549.451713,-791663.490444
0.000122,-0.016199,-0.000574,1,0,-18927.621708,707993.663809
0.000122,-0.016199,-0.000574,1,1,247654.874136,863777.576546
-0.000534,-0.001193,0.000228,0,0,-3762.258860,-534622.520498
-0.000534,-0.001193,0.000228,1,-1,737877.052064,-486874.792463
-0.000534,-0.001193,0.000228,1,0,24595.714117,-873085.126125
-0.000534,-0.001193,0.000228,1,1,751197.401745,524135.180962
-0.000557,0.016026,0.000166,0,0,55191.472427,-295249.466767
-0.000557,0.016026,0.000166,1,-1,-670640.717781,265731.462521
-0.000557,0.016026,0.000166,1,0,65686.136191,-70576.741393
-0.000557,0.016026,0.000166,1,1,-538467.498685,-346965.668493
-0.000166,0.010305,0.000559,0,0,81901.402256,-121687.421304
-0.000166,0.010305,0.000559,1,-1,-1844074.578243,5303665.244850
-0.000166,0.010305,0.000559,1,0,-9378.712897,1253825.423815
-0.000166,0.010305,0.000559,1,1,-1461646.268120,-5368130.080393
0.000353,0.018436,0.000460,0,0,93687.729248,-130887.282049
0.000353,0.018436,0.000460,1,-1,1633479.713582,-877150.708422
0.000353,0.018436,0.000460,1,0,-67489.831088,-1482886.304332
0.000353,0.018436,0.000460,1,1,1593384.290814,457326.412065
-0.000580,0.003497,0.000050,0,0,45353.609498,-1104909.203473
-0.000580,0.003497,0.000050,1,-1,-624468.142479,946602.451455
-0.000580,0.003497,0.000050,1,0,211492.306418,-7126381.116244
-0.000580,0.003497,0.000050,1,1,-597890.943114,-1007536.925067
-0.000123,0.000824,-0.000574,0,0,17389.270050,-504701.120382
-0.000123,0.000824,-0.000574,1,-1,-152443.781320,366031.599203
-0.000123,0.000824,-0.000574,1,0,6265.099756,583335.614576
-0.000123,0.000824,-0.000574,1,1,-43114.914506,-326696.290995
-0.000579,-0.017797,-0.000024,0,0,15329.891167,-158418.851417
-0.000579,-0.017797,-0.000024,1,-1,-58607.046781,1595438.466185
-0.000579,-0.017797,-0.000024,1,0,-84217.314397,-327544.088564
-0.000579,-0.017797,-0.000024,1,1,-137074.490363,-1521601.273512
-0.000020,-0.013500,-0.000579,0,0,-35313.107267,-135489.999759
-0.000020,-0.013500,-0.000579,1,-1,1647770.681682,-3330700.784329
-0.000020,-0.013500,-0.000579,1,0,18700.792514,384758.504189
-0.000020,-0.013500,-0.000579,1,1,1431877.552158,3424647.100769
-0.000580,-0.021343,0.000093,0,0,57251.389280,-2087129.028672
-0.000580,-0.021343,0.000093,1,-1,-8425243.420477,14274237.515635
-0.000580,-0.021343,0.000093,1,0,-112121.689090,5254888.366488
-0.000580,-0.021343,0.000093,1,1,-8308938.857231,-14411689.661711
-0.000187,0.013325,0.000552,0,0,104908.878375,-349803.887758
-0.000187,0.013325,0.000552,1,-1,-1118940.830901,2933081.042863
-0.000187,0.013325,0.000552,1,0,-11404.598535,412460.138297
-0.000187,0.013325,0.000552,1,1,-895095.720329,-3123695.788874
-0.000537,-0.004892,-0.000219,0,0,-17420.616943,-979611.883015
-0.000537,-0.004892,-0.000219,1,-1,1881349.619675,-4027275.860987
-0.000537,-0.004892,-0.000219,1,0,41108.578241,-1124015.008342
-0.000537,-0.004892,-0.000219,1,1,1617528.183188,4144828.865506
0.000579,-0.007072,0.000021,0,0,2659.699743,-1444730.104011
0.000579,-0.007072,0.000021,1,-1,4252211.122884,-1952036.459502
0.000579,-0.007072,0.000021,1,0,32280.226595,-887593.915800
0.000579,-0.007072,0.000021,1,1,4108310.656558,2258117.568548
-0.000560,0.021123,0.000156,0,0,-27750.188976,-2772349.717693
-0.000560,0.021123,0.000156,1,-1,4945836.550168,-4487369.917676
-0.000560,0.021123,0.000156,1,0,-54790.880247,-2288315.942322
-0.000560,0.021123,0.000156,1,1,5073833.568329,4498106.033720
-0.000467,0.019110,0.000348,0,0,37078.418183,-340676.153567
-0.000467,0.019110,0.000348,1,-1,774411.957631,-1091147.541009
-0.000467,0.019110,0.000348,1,0,-116383.800836,-2180857.078198
-0.000467,0.019110,0.000348,1,1,762038.501439,1216621.517973
0.000075,-0.011366,0.000579,0,0,-44517.718093,-468174.168343
0.000075,-0.011366,0.000579,1,-1,1148189.250426,-5009785.975732
