geo_name,sphere,mode,21,k,347.009396,max_r,0.100000
source_x,source_y,source_z,n,m,re,im
0.036091,0.014936,0.007144,0,0,12556929.450489,4516549.780845
0.036091,0.014936,0.007144,1,-1,1320008.806842,721706.475419
0.036091,0.014936,0.007144,1,0,-5616566.434545,-15799874.088196
0.036091,0.014936,0.007144,1,1,-3183035.909019,-240917.299742
-0.021662,0.018969,0.027326,0,0,2821638.027709,-764426.100672
-0.021662,0.018969,0.027326,1,-1,34019113.048906,23951340.702006
-0.021662,0.018969,0.027326,1,0,-20319105.053501,-78085804.123214
-0.021662,0.018969,0.027326,1,1,22116445.036931,-34601315.060488
-0.026900,-0.006529,0.028354,0,0,7420942.819736,-5607842.190145
-0.026900,-0.006529,0.028354,1,-1,-26119062.013804,-4133577.643943
-0.026900,-0.006529,0.028354,1,0,-9029255.604268,-25991948.194319
-0.026900,-0.006529,0.028354,1,1,-15226234.018321,18577110.209276
-0.024022,-0.015547,0.027479,0,0,19105824.038427,5739341.161145
-0.024022,-0.015547,0.027479,1,-1,-30319948.109034,-42909942.837750
-0.024022,-0.015547,0.027479,1,0,-11641655.612721,-15389725.492372
-0.024022,-0.015547,0.027479,1,1,-11087505.841587,45257323.049025
-0.034611,0.016964,0.009564,0,0,2831155.632635,1375575.500749
-0.034611,0.016964,0.009564,1,-1,7544385.600075,17011829.389454
-0.034611,0.016964,0.009564,1,0,-5411014.513582,-18812637.221971
-0.034611,0.016964,0.009564,1,1,-5686373.262364,-21639342.894917
0.010430,0.037076,-0.009450,0,0,4859604.762522,-1797415.446976
0.010430,0.037076,-0.009450,1,-1,20071185.585052,3095026.217568
0.010430,0.037076,-0.009450,1,0,34789191.089150,79610002.212790
0.010430,0.037076,-0.009450,1,1,13428174.532391,-14066577.175841
0.007052,0.035562,-0.016049,0,0,9844334.102365,11182177.749710
0.007052,0.035562,-0.016049,1,-1,22006531.035354,-5401557.653262
0.007052,0.035562,-0.016049,1,0,27214553.872515,58868669.169907
0.007052,0.035562,-0.016049,1,1,21945527.194568,-14176732.263655
-0.006088,0.017314,-0.035222,0,0,12860838.183356,4181147.773138
-0.006088,0.017314,-0.035222,1,-1,-14103249.336226,-512306.651462
-0.006088,0.017314,-0.035222,1,0,-5145224.299566,-10305549.436216
-0.006088,0.017314,-0.035222,1,1,-19578613.955404,8553148.566663
-0.013237,-0.032838,-0.017817,0,0,6376010.163829,8622450.515225
-0.013237,-0.032838,-0.017817,1,-1,2397367.770679,-641255.269662
-0.013237,-0.032838,-0.017817,1,0,149271.624781,-4356594.602663
-0.013237,-0.032838,-0.017817,1,1,674929.693883,-5641418.528634
-0.017181,-0.035689,-0.001534,0,0,834959.581630,-3138756.953652
-0.017181,-0.035689,-0.001534,1,-1,-914278.769807,2746727.112724
-0.017181,-0.035689,-0.001534,1,0,1273354.766851,9402376.747623
-0.017181,-0.035689,-0.001534,1,1,2110565.080643,-2023987.953399
-0.030868,-0.002119,0.024829,0,0,-1396920.081495,-23427684.653137
-0.030868,-0.002119,0.024829,1,-1,-1129854.045611,-313727.415369
-0.030868,-0.002119,0.024829,1,0,-7229741.737072,-5761323.242636
-0.030868,-0.002119,0.024829,1,1,2349882.264633,3080539.054263
-0.037935,0.011408,-0.001749,0,0,7745789.510078,126109.508194
-0.037935,0.011408,-0.001749,1,-1,14477450.669518,33730738.502513
-0.037935,0.011408,-0.001749,1,0,-2590073.974766,-11321774.112797
-0.037935,0.011408,-0.001749,1,1,-10502665.162243,-37536158.308192
-0.038089,0.007216,-0.008356,0,0,7463885.029189,-1763092.267510
-0.038089,0.007216,-0.008356,1,-1,4402051.273856,6450136.088062
-0.038089,0.007216,-0.008356,1,0,4549613.504946,5978807.710089
-0.038089,0.007216,-0.008356,1,1,-989454.396278,-10151277.504438
-0.010828,-0.026962,0.027014,0,0,-1739679.155624,-24998654.928853
-0.010828,-0.026962,0.027014,1,-1,-37725766.986143,-8272770.041990
-0.010828,-0.026962,0.027014,1,0,-20281169.529628,-62742448.102901
-0.010828,-0.026962,0.027014,1,1,-21054226.232178,30656818.210807
0.026455,0.026550,-0.012964,0,0,7021962.537081,-7026227.302296
0.026455,0.026550,-0.012964,1,-1,-5620248.597438,-4057808.927430
0.026455,0.026550,-0.012964,1,0,-5520743.894232,-19776866.440441
0.026455,0.026550,-0.012964,1,1,-9869013.613912,932411.596342
-0.037066,-0.007971,0.011669,0,0,1982541.648281,-7503802.821341
-0.037066,-0.007971,0.011669,1,-1,2893088.066120,-1629478.248434
-0.037066,-0.007971,0.011669,1,0,-2988298.304756,-2764589.671082
-0.037066,-0.007971,0.011669,1,1,15371768.110900,-4999062.490045
0.026452,0.027650,-0.010741,0,0,5773300.464359,-6655245.479531
0.026452,0.027650,-0.010741,1,-1,-3305474.371998,-2130143.628481
0.026452,0.027650,-0.010741,1,0,-1952883.917328,-13857034.303196
0.026452,0.027650,-0.010741,1,1,-7776147.764158,3469270.056982
0.010988,0.011678,0.036253,0,0,9143013.018167,-11268791.085501
0.010988,0.011678,0.036253,1,-1,10676986.851439,6157226.565218
0.010988,0.011678,0.036253,1,0,-5070925.016171,-5682459.798320
0.010988,0.011678,0.036253,1,1,3966622.415467,-3942960.114916
0.018692,-0.020512,-0.028299,0,0,6161203.859780,6580351.513372
0.018692,-0.020512,-0.028299,1,-1,12173153.633139,5291207.795826
0.018692,-0.020512,-0.028299,1,0,-2055115.159784,1037956.687548
0.018692,-0.020512,-0.028299,1,1,3017634.017750,-14674511.509836
0.015276,0.021843,0.029383,0,0,3043838.996429,-4379988.947719
0.015276,0.021843,0.029383,1,-1,2892028.849903,-2028802.809299
0.015276,0.021843,0.029383,1,0,-4666142.402519,-11168878.886271
0.015276,0.021843,0.029383,1,1,1934461.874999,-508593.534011
0.035139,-0.018368,-0.001986,0,0,13564303.371831,10174156.241091
0.035139,-0.018368,-0.001986,1,-1,15106698.834623,28864248.779263
0.035139,-0.018368,-0.001986,1,0,-7052165.498557,-9633160.631478
0.035139,-0.018368,-0.001986,1,1,81693.187451,-22596276.876838
0.022865,-0.021872,0.023833,0,0,715614.369273,-19652215.769000
0.022865,-0.021872,0.023833,1,-1,27391337.863648,-22013569.294330
0.022865,-0.021872,0.023833,1,0,8910085.535825,46225409.542059
0.022865,-0.021872,0.023833,1,1,30196239.405141,4958057.041183
0.039645,-0.000479,0.001518,0,0,-6176200.857618,-23538417.640556
0.039645,-0.000479,0.001518,1,-1,10986370.854058,43832825.735898
0.039645,-0.000479,0.001518,1,0,7829906.346102,24483845.828777
0.039645,-0.000479,0.001518,1,1,-26745300.850330,-42319653.361675
-0.036602,-0.005926,0.014093,0,0,-1751641.275508,-16054071.942634
-0.036602,-0.005926,0.014093,1,-1,13043189.032577,-431279.863166
-0.036602,-0.005926,0.014093,1,0,-2833426.144254,-397938.095718
-0.036602,-0.005926,0.014093,1,1,13859545.971670,-5729887.302724
0.034907,0.007150,0.017382,0,0,19209305.895653,27910762.505092
0.034907,0.007150,0.017382,1,-1,6062557.119536,-28853413.469085
0.034907,0.007150,0.017382,1,0,-589793.047680,-6762392.982797
0.034907,0.007150,0.017382,1,1,33789178.059886,19706148.568418
-0.039075,0.001976,0.006473,0,0,961489.705231,-13439642.462826
-0.039075,0.001976,0.006473,1,-1,19898865.852295,27073364.609429
-0.039075,0.001976,0.006473,1,0,-3242938.159338,-18133532.746073
-0.039075,0.001976,0.006473,1,1,-5296900.048849,-34716944.427473
0.023875,0.031522,0.002800,0,0,3659887.056020,-7090095.278888
0.023875,0.031522,0.002800,1,-1,5051548.188248,13654294.690495
0.023875,0.031522,0.002800,1,0,3764808.477911,13232982.156253
0.023875,0.031522,0.002800,1,1,-7282605.994978,-14272139.144611
0.000788,-0.033896,0.020596,0,0,20388813.385501,43853248.292754
0.000788,-0.033896,0.020596,1,-1,43221010.905449,-18639961.939382
0.000788,-0.033896,0.020596,1,0,39591623.930986,142034057.644502
0.000788,-0.033896,0.020596,1,1,51539989.678653,-1745140.589122
0.024486,0.002360,-0.031135,0,0,6508112.766218,2848602.016403
